AST2500_PCIE_RSTN	B12	BMC_PCIE reset
AST2500_PCIE_WAKEN	B13	AST2500_PCIE_WAKEN
AST2500_RST#	B14	BMC复位
BIOS_SW_EN1	N9	FPGA访问cpu bios切换信号1
BIOS_SW_EN2	M9	FPGA访问cpu bios切换信号2
CPLD_BOOTCOMPLETE	N16	CPLD配置完成信号
CPLD_CLK_25MHZ	J1	CPLD全局时钟输入--25MHz
CPLD_D2000_LED	P15	CPU状态指示灯信号
CPLD_D2000_UART_RXD	C8	CPU_DEBUG_RX到前面板J30J
CPLD_D2000_UART_TXD	C7	CPU_DEBUG_TX到前面板J30J
CPLD_DONE	C13	CPLD配置完成信号
CPLD_FPGA0_BPI_RES	P12	FPGA0 FLASH复位
CPLD_FPGA1_BPI_RES	L10	FPGA1 FLASH复位
CPLD_GPIO_J30	B3	CPLD GPIO到前面板J30J
CPLD_LPC_CLK	T4	CPLD LPC时钟输入--33MHz
CPLD_PCIE_PERST#	B1	主机PCIE插槽发出的复位信号
CPLD_PRON	B10	CPLD PROGRAM信号
CPLD_TCK	A7	CPLD_TCK
CPLD_TDI	A6	CPLD_TDI
CPLD_TDO	C6	CPLD_TDO
CPLD_TMS	B8	CPLD_TMS
CPLD_UART_RXD	B7	CPLD_UART_RXD
CPLD_UART_TXD	A8	CPLD_UART_TXD
D0V6_EN	P2	D0V6_EN
D0V6_PG	R1	D0V6_PG
D0V9_EN	D10	D0V9_EN
D0V9_PG	D9	D0V9_PG
D1V0_MGTAVCC_EN	E3	D1V0_MGTAVCC_EN
D1V0_MGTAVCC_PG	G4	D1V0_MGTAVCC_PG
D1V0_VCCINT_FPGA0_PG	F10	D1V0_VCCINT_FPGA0_PG
D1V0_VCCINT_FPGA1_PG	G3	D1V0_VCCINT_FPGA1_PG
D1V05_UPD720201_EN	A14	D1V05_UPD720201_EN
D1V05_UPD720201_PG	A12	D1V05_UPD720201_PG
D1V15_EN	C12	D1V15_EN
D1V15_PG	C11	D1V15_PG
D1V2_D2000_DDR4_EN	M3	D1V2_D2000_DDR4_EN
D1V2_D2000_DDR4_PG	L3	D1V2_D2000_DDR4_PG
D1V2_MGTAVTT_EN	D2	D1V2_MGTAVTT_EN
D1V35_AST2500_DDR3L_EN	B11	D1V35_AST2500_DDR3L_EN
D1V35_AST2500_DDR3L_PG	D11	D1V35_AST2500_DDR3L_PG
D1V8_D1V2_MGTAVCC_PG	F3	D1V8_D1V2_MGTAVCC_PG
D1V8_EN	G5	D1V8_EN
D1V8_MGTVCCAUX_EN	C2	D1V8_MGTVCCAUX_EN
D1V8_MGTVCCAUX_PG	F7	D1V8_MGTVCCAUX_PG
D1V8_VCCAUX_EN	E6	D1V8_VCCAUX_EN
D1V8_VCCAUX_PG	F8	D1V8_VCCAUX_PG
D2000_BTM_RST#	P16	CPU外部复位按钮输入信号
D2000_CAN_RXD0	L9	D2000_CAN_RXD0
D2000_CAN_TXD0	T12	D2000_CAN_TXD0
D2000_CLK_OBV	P4	D2000_CLK_OBV
D2000_CPLD_RSTFULL#	M15	FPGA复位
D2000_GPIO0_A0	T13	D2000_GPIO0_A0
D2000_GPIO0_A1	N10	S3_OK_CLEAR
D2000_GPIO0_A2	P9	D2000_GPIO0_A2
D2000_GPIO0_A3	R10	D2000_GPIO0_A3
D2000_GPIO0_A4	M7	D2000_GPIO0_A4
